name,comments,จำนวนคำ,ยอดไลค์,จำนวนการตอบกลับ,token,token_2g,token_3g,defind_cancer_with_nlp,defind_Genden_with_nlp,defind_Genden_with_python,defind_exp_with_python,beha,Treatment,label,symptoms_colcan_en,No symptoms identified,anxiety,fat,stress,week
fillname_0,"I mean, I wouldn’t cancel your baby shower. I you could pack some snacks for the drive like nuts/ protein bars or shakes. You can probably eat what you want in moderation at your shower just try to get in some protein first and include fats and fibers if you can. It does suck cos you can’t just go crazy but the educator will likely tell you that if you have good control over your diet in your day to day routine it is okay to treat yourself",49,0,0,"['start', 'i', 'mean', 'i', '’', 'cancel', 'baby', 'shower', 'i', 'could', 'pack', 'snacks', 'drive', 'like', 'nuts', 'protein', 'bars', 'shakes', 'you', 'probably', 'eat', 'want', 'moderation', 'shower', 'try', 'get', 'protein', 'first', 'include', 'fats', 'fibers', 'it', 'suck', 'cos', '’', 'go', 'crazy', 'educator', 'likely', 'tell', 'good', 'control', 'diet', 'day', 'day', 'routine', 'okay', 'treat', 'end']","['start i', 'i mean', 'mean i', 'i ’', '’ cancel', 'cancel baby', 'baby shower', 'shower i', 'i could', 'could pack', 'pack snacks', 'snacks drive', 'drive like', 'like nuts', 'nuts protein', 'protein bars', 'bars shakes', 'shakes you', 'you probably', 'probably eat', 'eat want', 'want moderation', 'moderation shower', 'shower try', 'try get', 'get protein', 'protein first', 'first include', 'include fats', 'fats fibers', 'fibers it', 'it suck', 'suck cos', 'cos ’', '’ go', 'go crazy', 'crazy educator', 'educator likely', 'likely tell', 'tell good', 'good control', 'control diet', 'diet day', 'day day', 'day routine', 'routine okay', 'okay treat', 'treat end']","['start i mean', 'i mean i', 'mean i ’', 'i ’ cancel', '’ cancel baby', 'cancel baby shower', 'baby shower i', 'shower i could', 'i could pack', 'could pack snacks', 'pack snacks drive', 'snacks drive like', 'drive like nuts', 'like nuts protein', 'nuts protein bars', 'protein bars shakes', 'bars shakes you', 'shakes you probably', 'you probably eat', 'probably eat want', 'eat want moderation', 'want moderation shower', 'moderation shower try', 'shower try get', 'try get protein', 'get protein first', 'protein first include', 'first include fats', 'include fats fibers', 'fats fibers it', 'fibers it suck', 'it suck cos', 'suck cos ’', 'cos ’ go', '’ go crazy', 'go crazy educator', 'crazy educator likely', 'educator likely tell', 'likely tell good', 'tell good control', 'good control diet', 'control diet day', 'diet day day', 'day day routine', 'day routine okay', 'routine okay treat', 'okay treat end']",Unable to identify / not sure if it is,ไม่สามารถระบุได้,เพศชาย,เล่าประสบการณ์คนอื่น,['ไม่สามารถระบุได้'],['ไม่สามารถระบุได้'],useless/unimportant,['No symptoms identified'],1,0,0,0,0
fillname_1,Don’t cancel it - I threw a baby shower years ago for someone with GD and it was fine. And definitely don’t make a decision till you meet with the educator!,22,0,0,"['start', 'don', '’', 'cancel', 'i', 'threw', 'baby', 'shower', 'years', 'ago', 'someone', 'gd', 'fine', 'and', 'definitely', '’', 'make', 'decision', 'till', 'meet', 'educator', 'end']","['start don', 'don ’', '’ cancel', 'cancel i', 'i threw', 'threw baby', 'baby shower', 'shower years', 'years ago', 'ago someone', 'someone gd', 'gd fine', 'fine and', 'and definitely', 'definitely ’', '’ make', 'make decision', 'decision till', 'till meet', 'meet educator', 'educator end']","['start don ’', 'don ’ cancel', '’ cancel i', 'cancel i threw', 'i threw baby', 'threw baby shower', 'baby shower years', 'shower years ago', 'years ago someone', 'ago someone gd', 'someone gd fine', 'gd fine and', 'fine and definitely', 'and definitely ’', 'definitely ’ make', '’ make decision', 'make decision till', 'decision till meet', 'till meet educator', 'meet educator end']",Unable to identify / not sure if it is,ไม่สามารถระบุได้,เพศชาย,เล่าประสบการณ์คนอื่น,['ไม่สามารถระบุได้'],['ไม่สามารถระบุได้'],useless/unimportant,['No symptoms identified'],1,0,0,0,0
fillname_10,"My friends threw me a baby shower literally the week I was diagnosed …at a Cheesecake Factory. 😭 I had a salad and some grilled chicken. Pack your own snacks, you got this 👏",23,0,0,"['start', 'my', 'friends', 'threw', 'baby', 'shower', 'literally', 'week', 'i', 'diagnosed', '…at', 'cheesecake', 'factory', '😭', 'i', 'salad', 'grilled', 'chicken', 'pack', 'snacks', 'got', '👏', 'end']","['start my', 'my friends', 'friends threw', 'threw baby', 'baby shower', 'shower literally', 'literally week', 'week i', 'i diagnosed', 'diagnosed …at', '…at cheesecake', 'cheesecake factory', 'factory 😭', '😭 i', 'i salad', 'salad grilled', 'grilled chicken', 'chicken pack', 'pack snacks', 'snacks got', 'got 👏', '👏 end']","['start my friends', 'my friends threw', 'friends threw baby', 'threw baby shower', 'baby shower literally', 'shower literally week', 'literally week i', 'week i diagnosed', 'i diagnosed …at', 'diagnosed …at cheesecake', '…at cheesecake factory', 'cheesecake factory 😭', 'factory 😭 i', '😭 i salad', 'i salad grilled', 'salad grilled chicken', 'grilled chicken pack', 'chicken pack snacks', 'pack snacks got', 'snacks got 👏', 'got 👏 end']",Unable to identify / not sure if it is,ไม่สามารถระบุได้,เพศชาย,เล่าประสบการณ์คนอื่น,['ไม่สามารถระบุได้'],['ไม่สามารถระบุได้'],useless/unimportant,['week'],0,0,0,0,1
fillname_11,"Don’t make any rash decisions right now. It’s manageable. You can control what’s served at your baby shower somewhat, right? Just make sure there is chicken and salad and maybe some keto sweets. You got this. Seriously.",30,0,0,"['start', 'don', '’', 'make', 'rash', 'decisions', 'right', 'it', '’', 'manageable', 'you', 'control', '’', 'served', 'baby', 'shower', 'somewhat', 'right', 'just', 'make', 'sure', 'chicken', 'salad', 'maybe', 'keto', 'sweets', 'you', 'got', 'seriously', 'end']","['start don', 'don ’', '’ make', 'make rash', 'rash decisions', 'decisions right', 'right it', 'it ’', '’ manageable', 'manageable you', 'you control', 'control ’', '’ served', 'served baby', 'baby shower', 'shower somewhat', 'somewhat right', 'right just', 'just make', 'make sure', 'sure chicken', 'chicken salad', 'salad maybe', 'maybe keto', 'keto sweets', 'sweets you', 'you got', 'got seriously', 'seriously end']","['start don ’', 'don ’ make', '’ make rash', 'make rash decisions', 'rash decisions right', 'decisions right it', 'right it ’', 'it ’ manageable', '’ manageable you', 'manageable you control', 'you control ’', 'control ’ served', '’ served baby', 'served baby shower', 'baby shower somewhat', 'shower somewhat right', 'somewhat right just', 'right just make', 'just make sure', 'make sure chicken', 'sure chicken salad', 'chicken salad maybe', 'salad maybe keto', 'maybe keto sweets', 'keto sweets you', 'sweets you got', 'you got seriously', 'got seriously end']",Unable to identify / not sure if it is,ไม่สามารถระบุได้,เพศชาย,เล่าประสบการณ์คนอื่น,['ไม่สามารถระบุได้'],['ไม่สามารถระบุได้'],useless/unimportant,['No symptoms identified'],1,0,0,0,0
fillname_12,"I think canceling it would be such an extreme take. Eat what you know you can. Cheese and meats, charcuterie options. Keep desserts light or none.",18,0,0,"['start', 'i', 'think', 'canceling', 'would', 'extreme', 'take', 'eat', 'know', 'cheese', 'meats', 'charcuterie', 'options', 'keep', 'desserts', 'light', 'none', 'end']","['start i', 'i think', 'think canceling', 'canceling would', 'would extreme', 'extreme take', 'take eat', 'eat know', 'know cheese', 'cheese meats', 'meats charcuterie', 'charcuterie options', 'options keep', 'keep desserts', 'desserts light', 'light none', 'none end']","['start i think', 'i think canceling', 'think canceling would', 'canceling would extreme', 'would extreme take', 'extreme take eat', 'take eat know', 'eat know cheese', 'know cheese meats', 'cheese meats charcuterie', 'meats charcuterie options', 'charcuterie options keep', 'options keep desserts', 'keep desserts light', 'desserts light none', 'light none end']",Unable to identify / not sure if it is,ไม่สามารถระบุได้,เพศชาย,เล่าประสบการณ์คนอื่น,['ไม่สามารถระบุได้'],['ไม่สามารถระบุได้'],useless/unimportant,['No symptoms identified'],1,0,0,0,0
fillname_13,"I would wait a few days to cancel and to me the drive would be more of an issue than the GD! Plus I would insist they have something safe for you or bring your own food if you decide to go - but can the shower come to you? If it's a matter of driving without the right food, staying with people, etc., that does sound far and hard in general! It does take a while to get the hang of things. I think in a few days you may feel a little better once you see how your numbers are affected by what you're eating, but you still might not want to drive 5 hours! Also,I am well controlled and I still feel sad sometimes. But I have found luck with making sure I always eat protein and fat with carbs, and I'm not having sugar cravings so that's been a bit easier. I'm also on nighttime insulin and that really helped. And the idea is to eat carbs in an even stream, not no carb, so you will find with testing what you can handle. What I read here is that it seems really individual. I also have had a cheat meal or two when I went out and didn't test, but most of my numbers are fine and the insulin made that a lot easier.",122,0,0,"['start', 'i', 'would', 'wait', 'days', 'cancel', 'drive', 'would', 'issue', 'gd', 'plus', 'i', 'would', 'insist', 'something', 'safe', 'bring', 'food', 'decide', 'go', 'shower', 'come', 'if', 'matter', 'driving', 'without', 'right', 'food', 'staying', 'people', 'etc', 'sound', 'far', 'hard', 'general', 'it', 'take', 'get', 'hang', 'things', 'i', 'think', 'days', 'may', 'feel', 'little', 'better', 'see', 'numbers', 'affected', 'youre', 'eating', 'still', 'might', 'want', 'drive', '5', 'hours', 'alsoi', 'well', 'controlled', 'i', 'still', 'feel', 'sad', 'sometimes', 'but', 'i', 'found', 'luck', 'making', 'sure', 'i', 'always', 'eat', 'protein', 'fat', 'carbs', 'im', 'sugar', 'cravings', 'thats', 'bit', 'easier', 'im', 'also', 'nighttime', 'insulin', 'really', 'helped', 'and', 'idea', 'eat', 'carbs', 'even', 'stream', 'carb', 'find', 'testing', 'handle', 'what', 'i', 'read', 'seems', 'really', 'individual', 'i', 'also', 'cheat', 'meal', 'two', 'i', 'went', 'didnt', 'test', 'numbers', 'fine', 'insulin', 'made', 'lot', 'easier', 'end']","['start i', 'i would', 'would wait', 'wait days', 'days cancel', 'cancel drive', 'drive would', 'would issue', 'issue gd', 'gd plus', 'plus i', 'i would', 'would insist', 'insist something', 'something safe', 'safe bring', 'bring food', 'food decide', 'decide go', 'go shower', 'shower come', 'come if', 'if matter', 'matter driving', 'driving without', 'without right', 'right food', 'food staying', 'staying people', 'people etc', 'etc sound', 'sound far', 'far hard', 'hard general', 'general it', 'it take', 'take get', 'get hang', 'hang things', 'things i', 'i think', 'think days', 'days may', 'may feel', 'feel little', 'little better', 'better see', 'see numbers', 'numbers affected', 'affected youre', 'youre eating', 'eating still', 'still might', 'might want', 'want drive', 'drive 5', '5 hours', 'hours alsoi', 'alsoi well', 'well controlled', 'controlled i', 'i still', 'still feel', 'feel sad', 'sad sometimes', 'sometimes but', 'but i', 'i found', 'found luck', 'luck making', 'making sure', 'sure i', 'i always', 'always eat', 'eat protein', 'protein fat', 'fat carbs', 'carbs im', 'im sugar', 'sugar cravings', 'cravings thats', 'thats bit', 'bit easier', 'easier im', 'im also', 'also nighttime', 'nighttime insulin', 'insulin really', 'really helped', 'helped and', 'and idea', 'idea eat', 'eat carbs', 'carbs even', 'even stream', 'stream carb', 'carb find', 'find testing', 'testing handle', 'handle what', 'what i', 'i read', 'read seems', 'seems really', 'really individual', 'individual i', 'i also', 'also cheat', 'cheat meal', 'meal two', 'two i', 'i went', 'went didnt', 'didnt test', 'test numbers', 'numbers fine', 'fine insulin', 'insulin made', 'made lot', 'lot easier', 'easier end']","['start i would', 'i would wait', 'would wait days', 'wait days cancel', 'days cancel drive', 'cancel drive would', 'drive would issue', 'would issue gd', 'issue gd plus', 'gd plus i', 'plus i would', 'i would insist', 'would insist something', 'insist something safe', 'something safe bring', 'safe bring food', 'bring food decide', 'food decide go', 'decide go shower', 'go shower come', 'shower come if', 'come if matter', 'if matter driving', 'matter driving without', 'driving without right', 'without right food', 'right food staying', 'food staying people', 'staying people etc', 'people etc sound', 'etc sound far', 'sound far hard', 'far hard general', 'hard general it', 'general it take', 'it take get', 'take get hang', 'get hang things', 'hang things i', 'things i think', 'i think days', 'think days may', 'days may feel', 'may feel little', 'feel little better', 'little better see', 'better see numbers', 'see numbers affected', 'numbers affected youre', 'affected youre eating', 'youre eating still', 'eating still might', 'still might want', 'might want drive', 'want drive 5', 'drive 5 hours', '5 hours alsoi', 'hours alsoi well', 'alsoi well controlled', 'well controlled i', 'controlled i still', 'i still feel', 'still feel sad', 'feel sad sometimes', 'sad sometimes but', 'sometimes but i', 'but i found', 'i found luck', 'found luck making', 'luck making sure', 'making sure i', 'sure i always', 'i always eat', 'always eat protein', 'eat protein fat', 'protein fat carbs', 'fat carbs im', 'carbs im sugar', 'im sugar cravings', 'sugar cravings thats', 'cravings thats bit', 'thats bit easier', 'bit easier im', 'easier im also', 'im also nighttime', 'also nighttime insulin', 'nighttime insulin really', 'insulin really helped', 'really helped and', 'helped and idea', 'and idea eat', 'idea eat carbs', 'eat carbs even', 'carbs even stream', 'even stream carb', 'stream carb find', 'carb find testing', 'find testing handle', 'testing handle what', 'handle what i', 'what i read', 'i read seems', 'read seems really', 'seems really individual', 'really individual i', 'individual i also', 'i also cheat', 'also cheat meal', 'cheat meal two', 'meal two i', 'two i went', 'i went didnt', 'went didnt test', 'didnt test numbers', 'test numbers fine', 'numbers fine insulin', 'fine insulin made', 'insulin made lot', 'made lot easier', 'lot easier end']",fat,ไม่สามารถระบุได้,ไม่สามารถระบุได้,เล่าประสบการณ์ตัวเอง,['ไม่สามารถระบุได้'],['Drug use'],useless/unimportant,['fat'],0,0,1,0,0
fillname_14,My one hour result is same as yours i was required to do the grueling 3 hours and failed 2 hours but my 3 hours is a pass! It’s not a surprise for me as i was already prediabetic and have Pcos as well. For canceling your baby shower i honestly would not do it. Celebrate your pregnancy with your people who are close to you and make sure that there is plenty of low carb options for you. I get it GD is hard but the world doesn’t stop when you have it we must learn to adjust and adapt. Hang in there.,51,0,0,"['start', 'my', 'one', 'hour', 'result', 'required', 'grueling', '3', 'hours', 'failed', '2', 'hours', '3', 'hours', 'pass', 'it', '’', 'surprise', 'already', 'prediabetic', 'pcos', 'well', 'for', 'canceling', 'baby', 'shower', 'honestly', 'would', 'celebrate', 'pregnancy', 'people', 'close', 'make', 'sure', 'plenty', 'low', 'carb', 'options', 'i', 'get', 'gd', 'hard', 'world', '’', 'stop', 'must', 'learn', 'adjust', 'adapt', 'hang', 'end']","['start my', 'my one', 'one hour', 'hour result', 'result required', 'required grueling', 'grueling 3', '3 hours', 'hours failed', 'failed 2', '2 hours', 'hours 3', '3 hours', 'hours pass', 'pass it', 'it ’', '’ surprise', 'surprise already', 'already prediabetic', 'prediabetic pcos', 'pcos well', 'well for', 'for canceling', 'canceling baby', 'baby shower', 'shower honestly', 'honestly would', 'would celebrate', 'celebrate pregnancy', 'pregnancy people', 'people close', 'close make', 'make sure', 'sure plenty', 'plenty low', 'low carb', 'carb options', 'options i', 'i get', 'get gd', 'gd hard', 'hard world', 'world ’', '’ stop', 'stop must', 'must learn', 'learn adjust', 'adjust adapt', 'adapt hang', 'hang end']","['start my one', 'my one hour', 'one hour result', 'hour result required', 'result required grueling', 'required grueling 3', 'grueling 3 hours', '3 hours failed', 'hours failed 2', 'failed 2 hours', '2 hours 3', 'hours 3 hours', '3 hours pass', 'hours pass it', 'pass it ’', 'it ’ surprise', '’ surprise already', 'surprise already prediabetic', 'already prediabetic pcos', 'prediabetic pcos well', 'pcos well for', 'well for canceling', 'for canceling baby', 'canceling baby shower', 'baby shower honestly', 'shower honestly would', 'honestly would celebrate', 'would celebrate pregnancy', 'celebrate pregnancy people', 'pregnancy people close', 'people close make', 'close make sure', 'make sure plenty', 'sure plenty low', 'plenty low carb', 'low carb options', 'carb options i', 'options i get', 'i get gd', 'get gd hard', 'gd hard world', 'hard world ’', 'world ’ stop', '’ stop must', 'stop must learn', 'must learn adjust', 'learn adjust adapt', 'adjust adapt hang', 'adapt hang end']",Unable to identify / not sure if it is,ไม่สามารถระบุได้,ไม่สามารถระบุได้,เล่าประสบการณ์ตัวเอง,['ไม่สามารถระบุได้'],['ไม่สามารถระบุได้'],tell experience,['No symptoms identified'],1,0,0,0,0
fillname_15,"My baby shower is in like a week and half and I've been diagnosed for about a month. It can definitely be overwhelming. We've been discussing different things we can make for it, part of those things I've figured out don't spike me through experiment. I also made a post last week asking for suggestions and got a few good ones! I am also making a couple of deserts myself that I know I can have. I know it's distressing and makes you sad but take a breath doll 💜",54,0,0,"['start', 'my', 'baby', 'shower', 'like', 'week', 'half', 'ive', 'diagnosed', 'month', 'it', 'definitely', 'overwhelming', 'weve', 'discussing', 'different', 'things', 'make', 'part', 'things', 'ive', 'figured', 'dont', 'spike', 'experiment', 'i', 'also', 'made', 'post', 'last', 'week', 'asking', 'suggestions', 'got', 'good', 'ones', 'i', 'also', 'making', 'couple', 'deserts', 'i', 'know', 'i', 'i', 'know', 'distressing', 'makes', 'sad', 'take', 'breath', 'doll', '💜', 'end']","['start my', 'my baby', 'baby shower', 'shower like', 'like week', 'week half', 'half ive', 'ive diagnosed', 'diagnosed month', 'month it', 'it definitely', 'definitely overwhelming', 'overwhelming weve', 'weve discussing', 'discussing different', 'different things', 'things make', 'make part', 'part things', 'things ive', 'ive figured', 'figured dont', 'dont spike', 'spike experiment', 'experiment i', 'i also', 'also made', 'made post', 'post last', 'last week', 'week asking', 'asking suggestions', 'suggestions got', 'got good', 'good ones', 'ones i', 'i also', 'also making', 'making couple', 'couple deserts', 'deserts i', 'i know', 'know i', 'i i', 'i know', 'know distressing', 'distressing makes', 'makes sad', 'sad take', 'take breath', 'breath doll', 'doll 💜', '💜 end']","['start my baby', 'my baby shower', 'baby shower like', 'shower like week', 'like week half', 'week half ive', 'half ive diagnosed', 'ive diagnosed month', 'diagnosed month it', 'month it definitely', 'it definitely overwhelming', 'definitely overwhelming weve', 'overwhelming weve discussing', 'weve discussing different', 'discussing different things', 'different things make', 'things make part', 'make part things', 'part things ive', 'things ive figured', 'ive figured dont', 'figured dont spike', 'dont spike experiment', 'spike experiment i', 'experiment i also', 'i also made', 'also made post', 'made post last', 'post last week', 'last week asking', 'week asking suggestions', 'asking suggestions got', 'suggestions got good', 'got good ones', 'good ones i', 'ones i also', 'i also making', 'also making couple', 'making couple deserts', 'couple deserts i', 'deserts i know', 'i know i', 'know i i', 'i i know', 'i know distressing', 'know distressing makes', 'distressing makes sad', 'makes sad take', 'sad take breath', 'take breath doll', 'breath doll 💜', 'doll 💜 end']",Unable to identify / not sure if it is,ไม่สามารถระบุได้,ไม่สามารถระบุได้,เล่าประสบการณ์ตัวเอง,['ไม่สามารถระบุได้'],['ไม่สามารถระบุได้'],useless/unimportant,['week'],0,0,0,0,1
fillname_16,Do what feels most comfortable for you…I get how you’re feeling because my husbands family is 3 hours away and I really didn’t want to go visit them at all during my pregnancy…it was definitely easier to stick to a routine when I’m at home…I was also put on insulin so I didn’t want to have to explain to people about my shot schedule and all that…I’m more of a homebody so I prefer to stay home but some people enjoy company and to talk to others about it so it comes down to what type of person you are and what makes you more happy,55,0,0,"['start', 'do', 'feels', 'comfortable', 'you…i', 'get', '’', 'feeling', 'husbands', 'family', '3', 'hours', 'away', 'i', 'really', '’', 'want', 'go', 'visit', 'pregnancy…it', 'definitely', 'easier', 'stick', 'routine', 'i', '’', 'home…i', 'also', 'put', 'insulin', 'i', '’', 'want', 'explain', 'people', 'shot', 'schedule', 'that…i', '’', 'homebody', 'i', 'prefer', 'stay', 'home', 'people', 'enjoy', 'company', 'talk', 'others', 'comes', 'type', 'person', 'makes', 'happy', 'end']","['start do', 'do feels', 'feels comfortable', 'comfortable you…i', 'you…i get', 'get ’', '’ feeling', 'feeling husbands', 'husbands family', 'family 3', '3 hours', 'hours away', 'away i', 'i really', 'really ’', '’ want', 'want go', 'go visit', 'visit pregnancy…it', 'pregnancy…it definitely', 'definitely easier', 'easier stick', 'stick routine', 'routine i', 'i ’', '’ home…i', 'home…i also', 'also put', 'put insulin', 'insulin i', 'i ’', '’ want', 'want explain', 'explain people', 'people shot', 'shot schedule', 'schedule that…i', 'that…i ’', '’ homebody', 'homebody i', 'i prefer', 'prefer stay', 'stay home', 'home people', 'people enjoy', 'enjoy company', 'company talk', 'talk others', 'others comes', 'comes type', 'type person', 'person makes', 'makes happy', 'happy end']","['start do feels', 'do feels comfortable', 'feels comfortable you…i', 'comfortable you…i get', 'you…i get ’', 'get ’ feeling', '’ feeling husbands', 'feeling husbands family', 'husbands family 3', 'family 3 hours', '3 hours away', 'hours away i', 'away i really', 'i really ’', 'really ’ want', '’ want go', 'want go visit', 'go visit pregnancy…it', 'visit pregnancy…it definitely', 'pregnancy…it definitely easier', 'definitely easier stick', 'easier stick routine', 'stick routine i', 'routine i ’', 'i ’ home…i', '’ home…i also', 'home…i also put', 'also put insulin', 'put insulin i', 'insulin i ’', 'i ’ want', '’ want explain', 'want explain people', 'explain people shot', 'people shot schedule', 'shot schedule that…i', 'schedule that…i ’', 'that…i ’ homebody', '’ homebody i', 'homebody i prefer', 'i prefer stay', 'prefer stay home', 'stay home people', 'home people enjoy', 'people enjoy company', 'enjoy company talk', 'company talk others', 'talk others comes', 'others comes type', 'comes type person', 'type person makes', 'person makes happy', 'makes happy end']",Unable to identify / not sure if it is,ไม่สามารถระบุได้,ไม่สามารถระบุได้,เล่าประสบการณ์ตัวเอง,['ไม่สามารถระบุได้'],['Drug use'],tell experience,['No symptoms identified'],1,0,0,0,0
fillname_17,"I had GD and threw a baby shower for a friend with GD. My doctor gave me a pass for the shower and while I don't know what my friends doc said, I did have GD friendly treats (even desserts!) available for her. I think you can totally still have a shower!!",32,0,0,"['start', 'i', 'gd', 'threw', 'baby', 'shower', 'friend', 'gd', 'my', 'doctor', 'gave', 'pass', 'shower', 'i', 'dont', 'know', 'friends', 'doc', 'said', 'i', 'gd', 'friendly', 'treats', 'even', 'desserts', 'available', 'i', 'think', 'totally', 'still', 'shower', 'end']","['start i', 'i gd', 'gd threw', 'threw baby', 'baby shower', 'shower friend', 'friend gd', 'gd my', 'my doctor', 'doctor gave', 'gave pass', 'pass shower', 'shower i', 'i dont', 'dont know', 'know friends', 'friends doc', 'doc said', 'said i', 'i gd', 'gd friendly', 'friendly treats', 'treats even', 'even desserts', 'desserts available', 'available i', 'i think', 'think totally', 'totally still', 'still shower', 'shower end']","['start i gd', 'i gd threw', 'gd threw baby', 'threw baby shower', 'baby shower friend', 'shower friend gd', 'friend gd my', 'gd my doctor', 'my doctor gave', 'doctor gave pass', 'gave pass shower', 'pass shower i', 'shower i dont', 'i dont know', 'dont know friends', 'know friends doc', 'friends doc said', 'doc said i', 'said i gd', 'i gd friendly', 'gd friendly treats', 'friendly treats even', 'treats even desserts', 'even desserts available', 'desserts available i', 'available i think', 'i think totally', 'think totally still', 'totally still shower', 'still shower end']",Unable to identify / not sure if it is,ไม่สามารถระบุได้,ไม่สามารถระบุได้,เล่าประสบการณ์ตัวเอง,['ไม่สามารถระบุได้'],['ไม่สามารถระบุได้'],tell experience,['No symptoms identified'],1,0,0,0,0
